rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_013,q_learning,1000000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.046612,-0.04820958049150722,-0.04501441950849278,0.431882,6.266960864599969
2,sarsa_007,sarsa,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046661,-0.0474612543961072,-0.045860745603892805,0.431045,6.332548574399698
3,q_learning_010,q_learning,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046731,-0.04804113273960228,-0.04542086726039772,0.431229,6.60633433119965
4,q_learning_009,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046932,-0.04763173677539804,-0.046232263224601965,0.430962,3.3012747104998197
5,sarsa_006,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047058,-0.047917746949437255,-0.04619825305056275,0.431564,3.2584737791999943
6,sarsa_008,sarsa,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047136,-0.04855197757948351,-0.04572002242051648,0.430796,12.716629674900286
7,q_learning_011,q_learning,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047184000000000004,-0.048057857207150514,-0.04631014279284949,0.430405,13.039555700900019
8,monte_carlo_002,monte_carlo,2000000,"epsilon=0.25, gamma=1.0",10,-0.04738,-0.047887097788509386,-0.04687290221149061,0.433771,14.33852749100006
9,sarsa_004,sarsa,1000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.047408,-0.0486048945414233,-0.0462111054585767,0.43301,6.199604351200105
10,q_learning_014,q_learning,2000000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.047545000000000004,-0.049247928717239806,-0.0458420712827602,0.431534,11.874658583099881
11,monte_carlo_001,monte_carlo,1000000,"epsilon=0.25, gamma=1.0",10,-0.047559000000000004,-0.048227813283892536,-0.04689018671610747,0.433657,6.746066915799747
12,q_learning_012,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.047674,-0.04896396261678822,-0.046384037383211785,0.43125,3.185032775200125
13,monte_carlo_000,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.047793,-0.04828108023038112,-0.04730491976961888,0.433521,3.2526813009999387
14,sarsa_005,sarsa,2000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.048966,-0.050045271072859415,-0.04788672892714059,0.43261700000000003,12.95064206190018
15,sarsa_003,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.049518,-0.05099073506743217,-0.048045264932567826,0.431994,2.7945802295998874
