rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_007,sarsa,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046456,-0.0473822100922217,-0.0455297899077783,0.431469,40.845091663399764
2,sarsa_006,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046504000000000004,-0.04773375383726446,-0.045274246162735544,0.43200099999999997,20.43794611320027
3,q_learning_009,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046644,-0.047512329895732154,-0.04577567010426784,0.431048,20.775001305099977
4,q_learning_014,q_learning,2000000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.046875,-0.0478673926879573,-0.0458826073120427,0.430908,77.51308940769995
5,sarsa_008,sarsa,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047347,-0.048206534679385696,-0.046487465320614305,0.430826,81.3985222139996
6,q_learning_010,q_learning,1000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047423,-0.04870888232819164,-0.04613711767180836,0.430874,41.58868223190002
7,q_learning_013,q_learning,1000000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.047543999999999996,-0.0486293957053331,-0.04645860429466689,0.431118,41.36969290450033
8,q_learning_011,q_learning,2000000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.047889,-0.04863624569798397,-0.04714175430201603,0.429846,82.80597662329947
9,monte_carlo_002,monte_carlo,2000000,"epsilon=0.25, gamma=1.0",10,-0.047899,-0.04934161695841658,-0.046456383041583414,0.433572,87.52599093740045
10,monte_carlo_000,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.047901,-0.04925028582189081,-0.04655171417810919,0.43298,19.119801228199684
11,monte_carlo_001,monte_carlo,1000000,"epsilon=0.25, gamma=1.0",10,-0.048099,-0.04927236720473838,-0.04692563279526162,0.433439,43.563050476499846
12,sarsa_003,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.048431,-0.04958138049504404,-0.04728061950495596,0.432357,20.526122016700356
13,q_learning_012,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.048514,-0.050147744097682107,-0.0468802559023179,0.430594,20.608307405500092
14,sarsa_005,sarsa,2000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.048533,-0.050647160924853586,-0.04641883907514641,0.432959,81.85612308160016
15,sarsa_004,sarsa,1000000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.048535,-0.049987089001557565,-0.04708291099844244,0.432426,41.04456224909991
