rank,plot_label,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,P14,double_dqn_011,double_dqn,1000000,"epsilon=1.0->0.01 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.049292,-0.052341317834270484,-0.04624268216572952,0.428334,546.0028533672
2,P08,double_dqn_018,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.049386,-0.05169247616801041,-0.047079523831989586,0.429216,271.86790322319956
3,P04,double_dqn_015,double_dqn,1000000,"epsilon=1.0->0.05 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.049634,-0.05227977930931512,-0.046988220690684875,0.428832,572.079790533
4,P06,double_dqn_006,double_dqn,500000,"epsilon=1.0->0.01 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.049712,-0.050578253481609166,-0.04884574651839083,0.42816,274.90296129639995
5,P12,double_dqn_050,double_dqn,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05031,-0.05185161195636256,-0.048768388043637444,0.428286,220.07798898120055
6,P12,double_dqn_051,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.05046,-0.05347408236649233,-0.04744591763350767,0.429348,445.00600100780065
7,P11,double_dqn_039,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=64, learning_rate=0.0003, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.050624,-0.05313940324751321,-0.04810859675248679,0.428642,429.81548459919975
8,P03,double_dqn_003,double_dqn,1000000,"epsilon=1.0->0.01 linear (50%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.050862,-0.05491753034243365,-0.046806469657566345,0.427696,577.8236150254
9,P16,double_dqn_034,double_dqn,500000,"epsilon=1.0->0.1 linear (100%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.050915999999999996,-0.05336533037248958,-0.04846666962751041,0.427422,272.2653411372001
10,P08,double_dqn_019,double_dqn,1000000,"epsilon=1.0->0.05 linear (80%), gamma=1.0, batch_size=64, decks=6, gradient_clip=10.0, hidden_size=128, learning_rate=0.001, learning_starts=1000, replay_capacity=100000, target_update_interval=1000, train_frequency=4",5,-0.050977999999999996,-0.05638217674529618,-0.04557382325470381,0.427852,559.9929112899997
