rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_048,sarsa,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.10081899999999999,-0.10131972320834745,-0.10031827679165253,0.417282,1.9408051661000627
2,monte_carlo_009,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.100916,-0.10136936061172831,-0.1004626393882717,0.417322,8.019983836100028
3,q_learning_088,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.100926,-0.10148732094428134,-0.10036467905571866,0.417247,2.072834758599947
4,q_learning_063,q_learning,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101037,-0.10141084199181531,-0.10066315800818469,0.417153,2.00675342060008
5,sarsa_028,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101039,-0.10139932325462316,-0.10067867674537685,0.417178,2.2025199186000464
6,sarsa_023,sarsa,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101056,-0.10142723133584211,-0.1006847686641579,0.417177,2.168032046899998
7,q_learning_094,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101072,-0.10140990410105695,-0.10073409589894304,0.417122,5.315162614799919
8,q_learning_068,q_learning,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.101077,-0.10146559934945905,-0.10068840065054095,0.417137,2.0288107206001316
9,sarsa_024,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.101087,-0.10152602881930207,-0.10064797118069792,0.417111,5.451199839099945
10,monte_carlo_018,monte_carlo,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.101089,-0.10162234933792652,-0.10055565066207348,0.41720999999999997,2.90704775660015
11,sarsa_053,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.101092,-0.10148628869648746,-0.10069771130351254,0.417118,2.0149123378999776
12,q_learning_084,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.101093,-0.1015088511573468,-0.1006771488426532,0.41713500000000003,5.137483130999999
13,q_learning_089,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.101108,-0.1016121413974494,-0.10060385860255061,0.417127,5.180311359100097
14,sarsa_032,sarsa,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.101117,-0.10149339088452772,-0.10074060911547228,0.417121,0.996983866400069
