rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_059,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.055583,-0.056773161214177865,-0.054392838785822135,0.429026,3.874117497100008
2,q_learning_047,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.055587,-0.057301790422750125,-0.05387220957724987,0.429384,3.9244533095999943
3,sarsa_035,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.055876,-0.05786280202778234,-0.05388919797221767,0.429402,3.944515146199984
4,q_learning_053,q_learning,500000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.056395,-0.05783315051012673,-0.05495684948987327,0.429056,3.9242707078999843
5,q_learning_050,q_learning,500000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.05659,-0.0577848250311703,-0.0553951749688297,0.429085,3.892431211799999
6,q_learning_038,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.057971,-0.059339075787959134,-0.05660292421204087,0.42844899999999997,3.937350053899985
7,q_learning_044,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.058381,-0.060636664817062445,-0.05612533518293756,0.42853,3.940525079099996
8,q_learning_056,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.058435,-0.059944325146326444,-0.05692567485367356,0.428576,4.034401966399992
9,sarsa_017,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.058551,-0.06018536906094608,-0.05691663093905392,0.428518,4.045877165399991
10,q_learning_041,q_learning,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.058586,-0.05970635218462767,-0.05746564781537233,0.428142,3.977452768099994
11,sarsa_032,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.059052,-0.061272767935887644,-0.05683123206411236,0.428422,3.9879921610999984
12,sarsa_029,sarsa,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.059696,-0.06247722733847247,-0.05691477266152753,0.428749,3.9408818816000064
13,sarsa_023,sarsa,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.05991,-0.06125317134639545,-0.05856682865360455,0.42858,4.055592045499987
14,sarsa_026,sarsa,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.061188,-0.06327753895418742,-0.05909846104581258,0.428665,3.8807766420000007
15,sarsa_020,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.061752,-0.062855637616531,-0.060648362383469004,0.427692,4.074530740099993
16,sarsa_014,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.062566,-0.06423131629369451,-0.060900683706305477,0.427306,4.4979662090000065
17,monte_carlo_005,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.062567,-0.06378119165691967,-0.06135280834308033,0.428553,5.653577294900001
18,monte_carlo_002,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.0628,-0.06451463596136323,-0.061085364038636764,0.428226,4.352171658999998
19,q_learning_052,q_learning,200000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.063775,-0.06513229980344964,-0.06241770019655035,0.426456,1.5789615738999998
20,monte_carlo_008,monte_carlo,500000,"epsilon=0.35, gamma=1.0",10,-0.06389299999999999,-0.06546017508578687,-0.06232582491421311,0.428367,5.368473315899999
21,q_learning_040,q_learning,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.064554,-0.06604462320413682,-0.06306337679586319,0.425893,1.6058460138999862
22,sarsa_034,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.064935,-0.06660675795829155,-0.06326324204170847,0.426076,1.597281543399987
23,q_learning_058,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.065549,-0.06713343894081014,-0.06396456105918985,0.425356,1.6235760413999913
24,q_learning_046,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.066216,-0.06857989001300821,-0.06385210998699178,0.425137,1.6007739883999874
25,sarsa_022,sarsa,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.067369,-0.06903954267212117,-0.06569845732787882,0.425993,1.7012705466
26,sarsa_028,sarsa,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.06743,-0.06957344119998142,-0.06528655880001859,0.425294,1.5836806124999896
27,sarsa_031,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.06781,-0.0697555494410463,-0.0658644505589537,0.425458,1.6534088504000066
28,q_learning_055,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.067934,-0.06985728106429265,-0.06601071893570734,0.425309,1.6096815375000006
29,q_learning_043,q_learning,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.068408,-0.0700797874482654,-0.06673621255173459,0.425097,1.587458151300001
30,q_learning_049,q_learning,200000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.068605,-0.07100558574204066,-0.06620441425795934,0.424443,1.602303247000009
31,sarsa_016,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.068836,-0.07063877433623228,-0.06703322566376771,0.424703,1.6838918379000005
32,q_learning_037,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.069112,-0.07114208402829922,-0.0670819159717008,0.424371,1.6585778646999927
33,sarsa_013,sarsa,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.070287,-0.07167222090021773,-0.06890177909978228,0.4242,1.7445235599999933
34,q_learning_051,q_learning,100000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.070443,-0.07245237135646396,-0.06843362864353605,0.423983,0.7867007485999977
35,sarsa_019,sarsa,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.070993,-0.07271543016235138,-0.06927056983764862,0.424165,1.609188194100011
36,sarsa_025,sarsa,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.071895,-0.07368756915787865,-0.07010243084212135,0.42426,1.5499356852999937
37,q_learning_048,q_learning,100000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.072485,-0.07445485850659381,-0.07051514149340618,0.423583,0.8336429785000121
38,monte_carlo_001,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.072858,-0.07526549884914245,-0.07045050115085756,0.424041,1.6114644715999986
39,q_learning_057,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.073005,-0.07449508777101664,-0.07151491222898336,0.422821,0.8312439133999987
40,monte_carlo_007,monte_carlo,200000,"epsilon=0.35, gamma=1.0",10,-0.073143,-0.07408371855665999,-0.07220228144334001,0.424727,2.2056183022999987
41,monte_carlo_004,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.073368,-0.07536030847928282,-0.07137569152071718,0.423952,2.2556319345000047
42,sarsa_027,sarsa,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.073945,-0.0761476932526644,-0.07174230674733559,0.422835,0.7811714239000083
43,sarsa_033,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.07410800000000001,-0.07618946258133821,-0.0720265374186618,0.422888,0.8154932131000067
44,q_learning_045,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.074486,-0.0762701364663301,-0.07270186353366989,0.422066,0.8267663216000016
45,sarsa_024,sarsa,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.075014,-0.07841646089461404,-0.07161153910538595,0.42326,0.793913161699993
46,q_learning_039,q_learning,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.075412,-0.07729359274072674,-0.07353040725927328,0.42211,0.8089060907000146
47,q_learning_042,q_learning,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.07585,-0.07730165021192358,-0.07439834978807643,0.422211,0.7929758640999921
48,q_learning_036,q_learning,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.075921,-0.07756637677462912,-0.07427562322537089,0.422043,0.7827764005999995
49,sarsa_030,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.076497,-0.07908710545442973,-0.07390689454557026,0.422128,0.8041883477999875
50,sarsa_021,sarsa,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.076925,-0.07985638406399889,-0.0739936159360011,0.421789,0.8043222982000089
51,sarsa_015,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.077353,-0.07910845949570666,-0.07559754050429335,0.421671,0.8751446140000041
52,q_learning_054,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.07772699999999999,-0.07979853456123714,-0.07565546543876284,0.421813,0.8282598006999933
53,sarsa_018,sarsa,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.077769,-0.08000588291091769,-0.07553211708908232,0.421753,0.8212125495999828
