rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_050,q_learning,500000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.0432,-0.04417717789214088,-0.042222822107859125,0.433867,4.840548479200038
2,sarsa_035,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.043681,-0.04583874636544706,-0.041523253634552934,0.433871,5.2600525555000335
3,sarsa_032,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.043716,-0.04498184981408626,-0.042450150185913735,0.43384,5.610661180700004
4,q_learning_044,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.043762,-0.04516800247801268,-0.04235599752198733,0.433508,4.857011183999975
5,q_learning_041,q_learning,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.043936,-0.04677196520348501,-0.04110003479651499,0.433749,5.284119898299991
6,q_learning_059,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.043962,-0.04620681150135646,-0.041717188498643545,0.433124,4.95583083300005
7,q_learning_038,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.044206,-0.04565253429587949,-0.042759465704120515,0.433628,5.142582292699967
8,q_learning_056,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.044499,-0.045538487826789924,-0.04345951217321007,0.433012,4.897598155899982
9,q_learning_058,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.044507,-0.04627319105653317,-0.042740808943466824,0.433442,2.1889579451000145
10,q_learning_052,q_learning,200000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.044649,-0.04632323075584646,-0.04297476924415354,0.433091,1.8710092615000804
11,sarsa_034,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.044671999999999996,-0.04572472984872663,-0.043619270151273364,0.43364,2.107926960099962
12,q_learning_053,q_learning,500000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.045343,-0.04743752807778321,-0.04324847192221679,0.43264400000000003,4.741104463399983
13,q_learning_043,q_learning,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.045739,-0.047098553387387034,-0.04437944661261297,0.43337,1.9669377663000431
14,sarsa_031,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.045989,-0.046943964395752824,-0.04503403560424718,0.432792,2.040993681700047
15,q_learning_055,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046202,-0.04807007365907593,-0.04433392634092407,0.432928,1.9442962117000206
16,sarsa_014,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.046375,-0.048024301794632435,-0.044725698205367564,0.434343,4.766855021000015
17,q_learning_049,q_learning,200000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.046766,-0.04864263264689118,-0.044889367353108826,0.432876,2.033758041500005
18,q_learning_046,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.046863,-0.0487546658281819,-0.0449713341718181,0.432522,1.9673343543999864
19,sarsa_026,sarsa,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.046914,-0.04871611599301118,-0.04511188400698882,0.434381,4.687956901000007
20,q_learning_057,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.04716,-0.04877495225220094,-0.045545047747799064,0.432301,0.9803788576999978
21,sarsa_033,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.047641,-0.0497926052198404,-0.045489394780159606,0.432749,1.1833024018000515
22,q_learning_040,q_learning,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.047793,-0.05007032742157703,-0.045515672578422976,0.431987,2.122347656500028
23,monte_carlo_002,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.047797,-0.04878379744367547,-0.04681020255632453,0.434454,6.7421001988000056
24,q_learning_051,q_learning,100000,"epsilon=0.35, alpha=0.01, gamma=1.0",10,-0.048226,-0.05084619934047435,-0.045605800659525644,0.431872,0.9387879007000037
25,sarsa_017,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.048342,-0.04963377003223398,-0.047050229967766026,0.432871,5.0646004705000225
26,sarsa_020,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.048477,-0.05015010758110636,-0.04680389241889364,0.433809,5.184640037099984
27,q_learning_037,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.048574,-0.050901417265897975,-0.046246582734102024,0.432703,2.1111271192999768
28,sarsa_023,sarsa,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.048649,-0.051556479338655925,-0.04574152066134407,0.433235,4.959858421600006
29,sarsa_022,sarsa,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.048724,-0.05160001192159483,-0.04584798807840518,0.433045,1.9957279516999962
30,sarsa_013,sarsa,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.049043,-0.050585351192231454,-0.04750064880776855,0.432496,2.0247614000999645
31,sarsa_028,sarsa,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.049147,-0.0510033982379747,-0.047290601762025306,0.432664,1.8695494845999747
32,monte_carlo_005,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.049234,-0.050465120641728055,-0.048002879358271945,0.434361,6.460296996599982
33,q_learning_047,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.049441,-0.05142835892229975,-0.04745364107770025,0.432031,4.879360057199984
34,sarsa_016,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.04952,-0.05122548283733506,-0.047814517162664945,0.432643,1.9901208412999722
35,q_learning_045,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.049840999999999996,-0.05250698820865943,-0.047175011791340565,0.431384,1.0607650572000011
36,sarsa_029,sarsa,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.050036,-0.052640620000742266,-0.04743137999925773,0.433202,4.6909843875999515
37,monte_carlo_001,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.050326,-0.052084933504346065,-0.04856706649565394,0.43287,2.5093618770000035
38,sarsa_019,sarsa,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.050742,-0.05305752394017232,-0.04842647605982769,0.432578,2.079711134399986
39,q_learning_039,q_learning,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.051033,-0.052324073455247394,-0.04974192654475261,0.430542,1.0111877742999695
40,sarsa_015,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.051186,-0.053906471213562505,-0.0484655287864375,0.431106,0.9973349694000035
41,q_learning_054,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.051683,-0.05291432813144543,-0.05045167186855457,0.431451,1.0159709163000117
42,monte_carlo_008,monte_carlo,500000,"epsilon=0.35, gamma=1.0",10,-0.052182,-0.053531780342031,-0.050832219657969,0.433672,6.086286104400005
43,q_learning_048,q_learning,100000,"epsilon=0.35, alpha=0.005, gamma=1.0",10,-0.052276,-0.05409308479415672,-0.05045891520584329,0.430731,0.9465776722000327
44,q_learning_036,q_learning,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.052315,-0.05328439014459837,-0.05134560985540163,0.430724,1.030601057199965
45,monte_carlo_004,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.052395,-0.05435730327999182,-0.05043269672000818,0.432583,2.7377403661000015
46,q_learning_042,q_learning,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.05242,-0.05444150877602734,-0.05039849122397266,0.430816,1.0039795292000009
47,sarsa_025,sarsa,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.052656,-0.05417463732157777,-0.051137362678422234,0.43217099999999997,1.8961296659000255
48,monte_carlo_007,monte_carlo,200000,"epsilon=0.35, gamma=1.0",10,-0.052705,-0.054270636009635276,-0.05113936399036473,0.433166,2.423780940399979
49,sarsa_030,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.053332000000000004,-0.05561874655860437,-0.05104525344139564,0.431164,0.9847420108000051
50,sarsa_021,sarsa,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.053461,-0.05590435390292388,-0.051017646097076125,0.43091,1.0126826231999986
51,monte_carlo_000,monte_carlo,100000,"epsilon=0.25, gamma=1.0",10,-0.053945,-0.0555879514809905,-0.0523020485190095,0.431498,1.2522587878999958
52,sarsa_024,sarsa,100000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.054499,-0.05822275751374274,-0.050775242486257255,0.431387,1.0071186085000137
53,sarsa_027,sarsa,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.054523,-0.05663214993981514,-0.05241385006018486,0.431575,0.922211151800002
54,monte_carlo_003,monte_carlo,100000,"epsilon=0.3, gamma=1.0",10,-0.055063,-0.05730936114088739,-0.05281663885911261,0.431765,1.2492605601000264
55,sarsa_012,sarsa,100000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.056486999999999996,-0.05814261176667585,-0.05483138823332414,0.429554,1.03099826319999
56,sarsa_018,sarsa,100000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.057325,-0.060206363328703966,-0.054443636671296036,0.430466,0.927893132999975
57,monte_carlo_006,monte_carlo,100000,"epsilon=0.35, gamma=1.0",10,-0.057622,-0.05929408870131541,-0.05594991129868459,0.431486,1.2215288145999694
58,monte_carlo_010,monte_carlo,200000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.069741,-0.07256587379396358,-0.06691612620603642,0.428618,2.7092638166000595
59,monte_carlo_011,monte_carlo,500000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.069901,-0.07251373946752361,-0.0672882605324764,0.429219,6.948206596400018
60,monte_carlo_009,monte_carlo,100000,"epsilon=1.0->0.05 linear (80%), gamma=1.0",10,-0.071815,-0.07537623154540674,-0.06825376845459327,0.4276,1.2126826790999985
