rank,configuration_id,algorithm,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_016,q_learning,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.05894,-0.06471372221015179,-0.05316627778984821,0.42656,7.651004893000026
2,sarsa_010,sarsa,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.059019999999999996,-0.061590067516622854,-0.05644993248337714,0.42804,8.00845107760001
3,q_learning_018,q_learning,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.06032,-0.06342608986347788,-0.05721391013652213,0.42626,7.757887995400006
4,sarsa_004,sarsa,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.0609,-0.06423948570890789,-0.057560514291092116,0.42454,7.680930768200005
5,q_learning_013,q_learning,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.0611,-0.06435088320306959,-0.05784911679693041,0.42428,7.749646128599966
6,sarsa_009,sarsa,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.06198,-0.06457239176051768,-0.05938760823948232,0.42594,7.973701804000006
7,q_learning_012,q_learning,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.06202,-0.06489084806982187,-0.05914915193017812,0.424,7.561336930200037
8,q_learning_015,q_learning,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.0621,-0.06595128778462478,-0.058248712215375226,0.4246,7.471396460399978
9,q_learning_019,q_learning,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.0628,-0.06639487724407941,-0.05920512275592058,0.42404,7.72289183559999
10,sarsa_007,sarsa,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.0629,-0.06907228865170773,-0.05672771134829227,0.42394,7.970914977599989
11,sarsa_003,sarsa,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.0631,-0.06736677189453573,-0.05883322810546428,0.42428,7.603627931799997
12,sarsa_006,sarsa,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.06314,-0.06785158887849949,-0.05842841112150052,0.42424,7.761615997000012
13,monte_carlo_002,monte_carlo,"epsilon=0.2, gamma=1.0",5,-0.0635,-0.06760291252648652,-0.05939708747351348,0.42704,8.128662564000013
14,monte_carlo_001,monte_carlo,"epsilon=0.1, gamma=1.0",5,-0.06396,-0.0678170688560097,-0.0601029311439903,0.4266,9.099800619799987
15,sarsa_008,sarsa,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.06398,-0.06975365567383437,-0.05820634432616561,0.42326,8.041641885199988
16,sarsa_005,sarsa,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.06496,-0.0679127775669698,-0.06200722243303022,0.42218,7.545395394799982
17,q_learning_017,q_learning,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.06652,-0.07331455987095559,-0.059725440129044405,0.42316,7.75908170040002
18,sarsa_011,sarsa,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.06788,-0.07398167864116097,-0.061778321358839025,0.42292,7.496353264400023
19,monte_carlo_000,monte_carlo,"epsilon=0.05, gamma=1.0",5,-0.06828,-0.0704434706931225,-0.06611652930687749,0.4252,9.731345979599984
20,q_learning_014,q_learning,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.0717,-0.07555826385826578,-0.06784173614173422,0.41958,7.610010357999999
21,q_learning_020,q_learning,"epsilon=0.2, alpha=0.1, gamma=1.0",5,-0.07178,-0.07541388440102323,-0.06814611559897676,0.42018,8.0014815322
