rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,q_learning_075,q_learning,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.05882,-0.06447873419061188,-0.05316126580938811,0.42652,64.53722057920004
2,monte_carlo_011,monte_carlo,200000,"epsilon=0.2, gamma=1.0",5,-0.060020000000000004,-0.06192775570763136,-0.05811224429236865,0.42764,60.80191395139995
3,q_learning_074,q_learning,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.06032,-0.06414847758776253,-0.05649152241223747,0.4257,48.34968385979992
4,sarsa_039,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.06068,-0.06455931486734448,-0.05680068513265551,0.42764,39.18712700999995
5,monte_carlo_003,monte_carlo,200000,"epsilon=0.05, gamma=1.0",5,-0.060719999999999996,-0.06209115974269958,-0.05934884025730041,0.42698,65.02303227999998
6,sarsa_027,sarsa,200000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.06088,-0.0628067906580633,-0.0589532093419367,0.42684,73.73752915040004
7,monte_carlo_007,monte_carlo,200000,"epsilon=0.1, gamma=1.0",5,-0.06128,-0.06621024744206618,-0.056349752557933834,0.42708,52.263461154799984
8,sarsa_038,sarsa,100000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.0616,-0.0648650329247957,-0.058334967075204296,0.42794,19.355721842799948
9,sarsa_026,sarsa,100000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.0623,-0.0664973298178723,-0.05810267018212769,0.42546,24.85039873060009
10,sarsa_030,sarsa,100000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.0626,-0.06721245930063345,-0.057987540699366555,0.42454,32.83169601059999
11,q_learning_063,q_learning,200000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.06323999999999999,-0.0674749608923814,-0.059005039107618576,0.42402,38.47725407359999
12,q_learning_051,q_learning,200000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.06354,-0.06603359454603189,-0.061046405453968104,0.42356,52.79588654119998
13,sarsa_042,sarsa,100000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.0641,-0.06976606134806182,-0.058433938651938196,0.42594,20.80401648420002
14,monte_carlo_010,monte_carlo,100000,"epsilon=0.2, gamma=1.0",5,-0.0644,-0.06822928024568586,-0.060570719754314134,0.42584,45.2281889656
15,q_learning_079,q_learning,200000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.06522,-0.06907945849051392,-0.06136054150948608,0.42328,48.80259737200013
16,sarsa_031,sarsa,200000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.06546,-0.07139417311510206,-0.05952582688489795,0.42444,63.48208737420005
17,q_learning_062,q_learning,100000,"epsilon=0.1, alpha=0.01, gamma=1.0",5,-0.06559999999999999,-0.06832996410232808,-0.0628700358976719,0.42462,20.019382043199993
18,q_learning_050,q_learning,100000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.06584,-0.07191207873466739,-0.0597679212653326,0.42384,35.71717701360003
19,q_learning_054,q_learning,100000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.06594,-0.07045336550259337,-0.06142663449740662,0.42336,28.446711297799993
20,sarsa_014,sarsa,100000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.06612,-0.06858944443954505,-0.06365055556045494,0.4239,29.88311099379998
21,sarsa_019,sarsa,200000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.06614,-0.06923195824033897,-0.06304804175966104,0.42296,29.3813648586
22,sarsa_041,sarsa,50000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.06672,-0.07035176946404917,-0.06308823053595083,0.4235,9.861231719400076
23,sarsa_015,sarsa,200000,"epsilon=0.05, alpha=0.01, gamma=1.0",5,-0.06704,-0.07263942877086582,-0.061440571229134176,0.42236,50.532256447199984
24,q_learning_055,q_learning,200000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.06732,-0.07179180775973208,-0.06284819224026793,0.4221,65.21348584220004
25,monte_carlo_006,monte_carlo,100000,"epsilon=0.1, gamma=1.0",5,-0.06745999999999999,-0.07112189690734187,-0.06379810309265811,0.42498,32.873055133799994
26,q_learning_066,q_learning,100000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.06786,-0.07258583598530462,-0.06313416401469539,0.42228,17.314996157600035
27,sarsa_037,sarsa,50000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.06788,-0.07424182305946966,-0.06151817694053033,0.42458,5.625766952799995
28,sarsa_029,sarsa,50000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.06804,-0.0707900134108764,-0.0652899865891236,0.42186,18.886742133600002
29,q_learning_073,q_learning,50000,"epsilon=0.2, alpha=0.01, gamma=1.0",5,-0.06810000000000001,-0.07181108286083726,-0.06438891713916275,0.42425999999999997,10.542051145200048
30,monte_carlo_002,monte_carlo,100000,"epsilon=0.05, gamma=1.0",5,-0.06862,-0.07014250498849757,-0.06709749501150243,0.42369999999999997,24.564470179199997
31,q_learning_077,q_learning,50000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.06904,-0.07641585266664133,-0.061664147333358676,0.42334,19.210178604999964
32,sarsa_043,sarsa,200000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.06952,-0.07310224519540469,-0.06593775480459531,0.42364,39.30910057459996
33,q_learning_058,q_learning,100000,"epsilon=0.05, alpha=0.1, gamma=1.0",5,-0.06982,-0.0746625884648605,-0.06497741153513949,0.42044,17.722678960600025
34,q_learning_070,q_learning,100000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.06985999999999999,-0.07876163729658762,-0.06095836270341236,0.4218,28.58850168380004
35,sarsa_018,sarsa,100000,"epsilon=0.05, alpha=0.05, gamma=1.0",5,-0.07028,-0.0758397707003077,-0.06472022929969229,0.41942,17.532321105400023
36,monte_carlo_009,monte_carlo,50000,"epsilon=0.2, gamma=1.0",5,-0.07052,-0.07638148150555812,-0.06465851849444187,0.42369999999999997,19.54515822359999
37,q_learning_067,q_learning,200000,"epsilon=0.1, alpha=0.05, gamma=1.0",5,-0.07054,-0.07839116405127292,-0.0626888359487271,0.42153999999999997,52.7887332022
38,sarsa_033,sarsa,50000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.0706,-0.07377253715502277,-0.06742746284497722,0.42182,13.667311453399998
39,q_learning_078,q_learning,100000,"epsilon=0.2, alpha=0.05, gamma=1.0",5,-0.07094,-0.076415595982174,-0.06546440401782601,0.42164,17.304611141999978
40,sarsa_034,sarsa,100000,"epsilon=0.1, alpha=0.1, gamma=1.0",5,-0.07103999999999999,-0.0797651046159917,-0.06231489538400828,0.42138,39.56895755319997
