rank,configuration_id,algorithm,training_episodes,parameters,seeds,mean_reward,reward_ci_95_lower,reward_ci_95_upper,win_rate,training_seconds
1,sarsa_054,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.044294,-0.044776903058870686,-0.043811096941129314,0.433091,21.281116868599973
2,q_learning_074,q_learning,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.045461,-0.046699763589247135,-0.04422223641075287,0.432439,21.83986497759988
3,sarsa_059,sarsa,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.045743,-0.04703796550488592,-0.04444803449511408,0.431987,20.979524187800052
4,q_learning_084,q_learning,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.045841,-0.04658275894365278,-0.04509924105634722,0.43230999999999997,20.69037053349998
5,q_learning_094,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046078,-0.04758401425379119,-0.04457198574620881,0.431923,21.600788609699975
6,q_learning_064,q_learning,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.046198,-0.04733307825171268,-0.04506292174828733,0.431524,21.41247663690001
7,q_learning_089,q_learning,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.046212,-0.04755530099785731,-0.044868699002142694,0.431769,20.939073027099948
8,sarsa_034,sarsa,500000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.046458,-0.047086870580715055,-0.04582912941928494,0.433626,21.18002300410003
9,monte_carlo_009,monte_carlo,500000,"epsilon=0.25, gamma=1.0",10,-0.046474,-0.047270103221001454,-0.04567789677899855,0.433807,23.24773762789996
10,monte_carlo_004,monte_carlo,500000,"epsilon=0.2, gamma=1.0",10,-0.046602,-0.0477109890231698,-0.045493010976830194,0.433868,22.57026118470003
11,sarsa_024,sarsa,500000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.046684,-0.047742001472294716,-0.04562599852770529,0.433216,20.943374345999974
12,sarsa_053,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.046789,-0.04753352170824257,-0.046044478291757424,0.43183900000000003,8.392204505300151
13,sarsa_058,sarsa,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.046829,-0.048518172959975125,-0.04513982704002488,0.431765,8.451511282500041
14,q_learning_069,q_learning,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.046864,-0.04812982958192993,-0.04559817041807008,0.430969,22.17364897089997
15,sarsa_029,sarsa,500000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.046928,-0.048397427278061456,-0.04545857272193854,0.43241,21.032582365600046
16,q_learning_098,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.047372,-0.04845176374502326,-0.046292236254976735,0.430664,8.393754745999967
17,q_learning_099,q_learning,500000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.047463,-0.04884704638207443,-0.046078953617925564,0.430771,20.162308851600027
18,monte_carlo_014,monte_carlo,500000,"epsilon=0.3, gamma=1.0",10,-0.047618,-0.04875980089301458,-0.04647619910698542,0.43384100000000003,22.651458995599977
19,q_learning_083,q_learning,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.047758999999999996,-0.048800784814547714,-0.04671721518545228,0.431025,8.612627416299983
20,q_learning_079,q_learning,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.047982,-0.049771479403675205,-0.04619252059632479,0.431045,21.45197509919999
21,q_learning_078,q_learning,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.048008999999999996,-0.0495239627955241,-0.04649403720447589,0.430467,8.415394771399951
22,sarsa_044,sarsa,500000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.048145,-0.04949911982433855,-0.04679088017566145,0.433179,20.789723493200018
23,q_learning_093,q_learning,200000,"epsilon=1.0->0.05 linear (80%), alpha=0.005, gamma=1.0",10,-0.048209,-0.04943538672088194,-0.04698261327911806,0.431185,8.574610086199936
24,q_learning_073,q_learning,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.049139,-0.05020877802299771,-0.048069221977002294,0.430111,8.970374702500067
25,monte_carlo_003,monte_carlo,200000,"epsilon=0.2, gamma=1.0",10,-0.04919,-0.05019356763775819,-0.04818643236224181,0.432721,7.529163898900038
26,q_learning_063,q_learning,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.049219,-0.05066024341187277,-0.047777756588127225,0.43081400000000003,8.636245510400068
27,q_learning_068,q_learning,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.049229,-0.05041952840921818,-0.048038471590781825,0.430174,9.136391417599906
28,sarsa_028,sarsa,200000,"epsilon=0.2, alpha=0.01, gamma=1.0",10,-0.049343,-0.050942911955410876,-0.04774308804458912,0.431519,8.490581003299985
29,monte_carlo_008,monte_carlo,200000,"epsilon=0.25, gamma=1.0",10,-0.049444,-0.05027622563222562,-0.048611774367774384,0.432585,9.23066354049995
30,q_learning_088,q_learning,200000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.049484,-0.05170935768007452,-0.04725864231992548,0.430286,8.282319501500023
31,q_learning_087,q_learning,100000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.049544,-0.050401422280922425,-0.04868657771907757,0.430569,4.128762370399909
32,sarsa_043,sarsa,200000,"epsilon=0.3, alpha=0.005, gamma=1.0",10,-0.049624,-0.05086121117672862,-0.04838678882327138,0.432018,8.377477145500006
33,monte_carlo_013,monte_carlo,200000,"epsilon=0.3, gamma=1.0",10,-0.049891,-0.05088402561757265,-0.048897974382427344,0.432767,8.914112639500013
34,q_learning_097,q_learning,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.05015,-0.05146920279765218,-0.04883079720234782,0.430255,4.2047644643000694
35,sarsa_039,sarsa,500000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.050237000000000004,-0.05205460585880316,-0.04841939414119685,0.431993,21.273974300100008
36,sarsa_049,sarsa,500000,"epsilon=0.3, alpha=0.01, gamma=1.0",10,-0.050381999999999996,-0.05281599383751616,-0.04794800616248383,0.432188,21.10797467460002
37,sarsa_038,sarsa,200000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.050537,-0.052304727442088035,-0.04876927255791196,0.43106,8.23057713259991
38,sarsa_057,sarsa,100000,"epsilon=1.0->0.05 linear (80%), alpha=0.01, gamma=1.0",10,-0.050757,-0.052929020496772526,-0.04858497950322747,0.430678,4.252053868399935
39,sarsa_023,sarsa,200000,"epsilon=0.2, alpha=0.005, gamma=1.0",10,-0.050805,-0.052062663272722694,-0.04954733672727731,0.430948,8.39267490520001
40,q_learning_077,q_learning,100000,"epsilon=0.25, alpha=0.01, gamma=1.0",10,-0.050921,-0.05235560590013812,-0.04948639409986188,0.42995,4.243705141400051
41,sarsa_033,sarsa,200000,"epsilon=0.25, alpha=0.005, gamma=1.0",10,-0.050949,-0.05202943023438711,-0.049868569765612894,0.431141,8.515834527299967
